window,state_key,source_venue,canonical_asset,rows,prediction_rows,action_count,mean_confidence,net_return,profit_factor,executed_adjustments,fees,funding,slippage,action_macro_f1,target_exposure_mae,predicted_no_trade_rate,status
WF1,BITMEX:BTC-PERP,BITMEX,BTC-PERP,8784,8784,0,0.40521137917679406,0.0,,0,0.0,0.0,0.0,0.0846242365229707,0.14625862373008156,1.0,STABLE_SAMPLE
WF1,BITMEX:DOGEUSD,BITMEX,DOGEUSD,7414,7414,0,0.6595872058634525,0.0,,0,0.0,0.0,0.0,0.19865571321882,0.03875866163690999,1.0,STABLE_SAMPLE
WF1,BITMEX:ETHUSD,BITMEX,ETHUSD,1363,1363,0,0.641045613817697,0.0,,0,0.0,0.0,0.0,0.19762435040831478,0.007757596087739368,1.0,STABLE_SAMPLE
WF2,BITMEX:BTC-PERP,BITMEX,BTC-PERP,8760,8760,0,0.9305140895827761,0.0,,0,0.0,0.0,0.0,0.10437812350761076,0.21939453906440579,1.0,STABLE_SAMPLE
WF3,BITMEX:BTC-PERP,BITMEX,BTC-PERP,4773,4773,0,0.9192646554549955,0.0,,0,0.0,0.0,0.0,0.10979200527642334,0.13818392429938087,1.0,STABLE_SAMPLE
